title,source,text,,,
Student+Hearing+Voices_Final.pdf,https://static1.squarespace.com/static/6308d9191f5d606799324692/t/63a32d84c1ed204856c00131/1671638407619/Student+Hearing+Voices_Final.pdf,"#1 NO-ONE KNOWS (OR NEEDS TO KNOW) WHY YOU DON’T GO. Whilst Freshers Week can feel like this massive thing that everyone goes to, it can help to remember that not going to an event doesn’t mark you out as different or place an ‘I hear voices’ label on your forehead. There are lots of reasons people don’t go to an event. It’s OK not to go and you don’t need to give anyone a reason.",,,
Student+Hearing+Voices_Final.pdf,https://static1.squarespace.com/static/6308d9191f5d606799324692/t/63a32d84c1ed204856c00131/1671638407619/Student+Hearing+Voices_Final.pdf,"#2: SEEK OUT SOCIAL EVENTS THAT FEEL MORE MANAGEABLE. If the big mainstream socials feel too much, you might want to seek out social spaces that feel a little smaller and/or revolve less around alcohol. This might include gatherings hosted by your department, ones based on a shared interest or the Students’ Union.",,,
Student+Hearing+Voices_Final.pdf,https://static1.squarespace.com/static/6308d9191f5d606799324692/t/63a32d84c1ed204856c00131/1671638407619/Student+Hearing+Voices_Final.pdf,"#3: BE KIND TO YOURSELF IF THINGS GO A BIT WONKY Lots of people struggle to navigate Freshers Week, whether they hear voices or not. But, if you find your voices give you a hard time try to be kind to yourself. There is no (useful) instruction manual for university life, and there may be times when things go awry. It’s OK to ask for support. Yet we know it’s not always easy to ask for it and sometimes the support offered isn’t helpful. See the back cover for ideas on who to contact. Some people find the voices they hear use shame as a way of keeping people isolated (and/or safe). Just because the voices say you messed up it doesn’t mean it’s true (and even if it is it doesn’t mean you should feel ashamed).",,,
Student+Hearing+Voices_Final.pdf,https://static1.squarespace.com/static/6308d9191f5d606799324692/t/63a32d84c1ed204856c00131/1671638407619/Student+Hearing+Voices_Final.pdf,#4: IT’S OK TO FEEL OUT OF PLACE OR ESTRANGED. “It is okay to feel estranged. Most others probably also have these mixed feelings. It can be a good way to break the ice and get a friend by saying that you are nervous or don’t know what to expect. Others may relax and find you interesting for opening up” Even those without voices & visions can feel disconnected in the first few weeks (or months) of university. So many of us are not sure about what we’re doing or where we fit ... so sometimes being honest about that can be a welcome break for those who are feeling like they need to wear a confident mask.,,,
Student+Hearing+Voices_Final.pdf,https://static1.squarespace.com/static/6308d9191f5d606799324692/t/63a32d84c1ed204856c00131/1671638407619/Student+Hearing+Voices_Final.pdf,"#5: PLAN AHEAD. Whilst going with the flow can lead to some great experiences, some of us prefer a bit more predictability (and that’s OK too). At Freshers Week you’ll be introduced to different societies and socials - but many of these are also advertised on the Student Union’s website if you want to suss them out first. You might want to get some recommendations from a uni social media group for new students, or speak with someone at the Student Union, Wellbeing or Disability Office.",,,
Student+Hearing+Voices_Final.pdf,https://static1.squarespace.com/static/6308d9191f5d606799324692/t/63a32d84c1ed204856c00131/1671638407619/Student+Hearing+Voices_Final.pdf,"#6: FINDING CHARGING POINTS. “I have 3 places at uni that I alternate between when I’m feeling a little lost. It helps me feel more confident ... like I’m going somewhere which gives less space for the voices to freak me out” Planning ahead can also involve working out what spaces on the university campus feel OK to retreat to when stuff gets a bit much or you need to recharge. It might be a corner of the library, a coffee shop, an open space or your room.",,,
Student+Hearing+Voices_Final.pdf,https://static1.squarespace.com/static/6308d9191f5d606799324692/t/63a32d84c1ed204856c00131/1671638407619/Student+Hearing+Voices_Final.pdf,"ANTICIPATING TRIGGERS / CHALLENGES. “I wish I’d thought that things would be different to home. I’d suggest making a list of anything that might stress you out and how you would cope with them” Whilst you can (mostly) control what happens in your own room, sharing accommodation means there’s a lot more that is outside of your field of influence. You may encounter people turning the hall light on and off at different times, banging doors, people speaking in the corridor, middle of the night fire alarms and security staff checking the premises. Some of these things might be fine, but you may find others trigger your voices or visions … especially if you have sensory sensitivities or post-traumatic reactions. Having ways of managing these responses planned out can help. Some people use draught excluders help block out light. Comfy headphones or ear defenders can help with the noise. Having familiar objects (anchors) around can help the space feel more like your own. Customise the space so it works for you.",,,
Student+Hearing+Voices_Final.pdf,https://static1.squarespace.com/static/6308d9191f5d606799324692/t/63a32d84c1ed204856c00131/1671638407619/Student+Hearing+Voices_Final.pdf,"LEAVING YOUR ROOM. “It takes a lot of energy to leave your room to meet brand new people you don’t know. Add in the sensory stuff and the first step out of the door can be hard – a lot of time I didn’t manage it. Telling other people ‘you might need to come and get me’ helped.” The downside to creating a safer space in your room can be that, if you’re struggling with socialising and the unknown, it can get tricky to leave. That’s natural, however some people find being alone with their voices/ visions can make things worse. If you want to leave your room (or think it’d be a good idea), but are struggling - here are some ideas from contributors. It’s OK to ask for help. If you’re not sure who to speak to, check out the links at the back of this booklet.",,,
Student+Hearing+Voices_Final.pdf,https://static1.squarespace.com/static/6308d9191f5d606799324692/t/63a32d84c1ed204856c00131/1671638407619/Student+Hearing+Voices_Final.pdf,#1 TEXT SOMEONE. Text a friend and ask if they can swing by your place on the way to the library (or wherever you need to go). Sometimes having someone you know knock on your door can be a useful prompt if you’re feeling stuck or need some extra motivation.,,,
Student+Hearing+Voices_Final.pdf,https://static1.squarespace.com/static/6308d9191f5d606799324692/t/63a32d84c1ed204856c00131/1671638407619/Student+Hearing+Voices_Final.pdf,"#2 TAKING IT ONE TRIP AT A TIME. It can help to choose something specific and limited to go out for (e.g. buying a coffee, walking to a place you’ve flagged as safe(ish) or going to the library). Some days that might involve just walking around the block and coming back.",,,
